"GEO_ID","NAME","B17018_001E","B17018_001M","B17018_002E","B17018_002M","B17018_003E","B17018_003M","B17018_004E","B17018_004M","B17018_005E","B17018_005M","B17018_006E","B17018_006M","B17018_007E","B17018_007M","B17018_008E","B17018_008M","B17018_009E","B17018_009M","B17018_010E","B17018_010M","B17018_011E","B17018_011M","B17018_012E","B17018_012M","B17018_013E","B17018_013M","B17018_014E","B17018_014M","B17018_015E","B17018_015M","B17018_016E","B17018_016M","B17018_017E","B17018_017M","B17018_018E","B17018_018M","B17018_019E","B17018_019M","B17018_020E","B17018_020M","B17018_021E","B17018_021M","B17018_022E","B17018_022M","B17018_023E","B17018_023M","B17018_024E","B17018_024M","B17018_025E","B17018_025M","B17018_026E","B17018_026M","B17018_027E","B17018_027M","B17018_028E","B17018_028M","B17018_029E","B17018_029M","B17018_030E","B17018_030M","B17018_031E","B17018_031M","B17018_032E","B17018_032M","B17018_033E","B17018_033M","B17018_034E","B17018_034M","B17018_035E","B17018_035M",
"860Z200US24347","ZCTA5 24347","398","153","59","56","32","45","0","13","0","13","32","45","0","13","27","35","0","13","0","13","0","13","0","13","0","13","27","35","0","13","27","35","0","13","0","13","339","141","217","98","7","11","43","34","89","59","78","66","122","102","42","41","0","13","32","36","10","18","0","13","80","87","0","13","6","11","0","13","74","86",
"860Z200US24348","ZCTA5 24348","1076","124","140","71","21","24","0","13","12","14","9","19","0","13","119","65","7","11","7","11","0","13","0","13","0","13","112","64","2","3","80","50","30","38","0","13","936","134","820","131","93","56","310","102","260","101","157","65","116","57","21","20","11","13","8","13","2","4","0","13","95","52","35","34","28","26","32","30","0","13",
"860Z200US24350","ZCTA5 24350","355","125","34","26","21","14","0","13","0","13","21","14","0","13","13","21","0","13","0","13","0","13","0","13","0","13","13","21","0","13","0","13","13","21","0","13","321","124","304","122","22","24","114","75","116","87","52","42","17","20","5","9","0","13","0","13","0","13","5","9","12","18","0","13","0","13","12","18","0","13",
"860Z200US24351","ZCTA5 24351","79","75","48","73","0","13","0","13","0","13","0","13","0","13","48","73","48","73","48","73","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","31","20","24","22","0","13","0","13","18","20","6","10","7","12","7","12","0","13","0","13","7","12","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US24352","ZCTA5 24352","406","144","47","61","16","26","0","13","0","13","16","26","0","13","31","54","0","13","0","13","0","13","0","13","0","13","31","54","0","13","31","54","0","13","0","13","359","137","317","137","19","32","118","95","123","102","57","68","42","40","30","33","0","13","15","24","0","13","15","24","12","21","0","13","0","13","12","21","0","13",
"860Z200US24354","ZCTA5 24354","3525","304","434","144","148","86","14","18","92","71","38","41","4","7","286","111","39","28","9","14","17","20","13","15","0","21","247","106","38","48","149","88","60","39","0","21","3091","265","2301","256","145","62","664","163","914","186","578","126","790","201","251","118","12","20","175","108","23","21","41","42","539","145","112","78","182","82","158","78","87","53",
"860Z200US24360","ZCTA5 24360","1713","232","147","109","147","109","13","22","30","38","64","71","40","59","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","1566","216","1372","226","57","59","557","179","368","139","390","166","194","153","130","120","0","19","25","46","105","108","0","19","64","74","0","19","44","68","20","34","0","19",
"860Z200US24361","ZCTA5 24361","1191","224","90","46","18","20","10","14","0","13","8","13","0","13","72","43","23","26","0","13","0","13","0","13","23","26","49","36","12","19","8","12","9","14","20","29","1101","225","945","203","150","75","209","85","321","100","265","131","156","72","42","33","8","15","26","31","8","13","0","13","114","70","0","13","32","28","62","56","20","21",
"860Z200US24363","ZCTA5 24363","333","106","28","26","22","22","0","13","14","17","8","12","0","13","6","10","0","13","0","13","0","13","0","13","0","13","6","10","6","10","0","13","0","13","0","13","305","104","272","97","27","27","40","25","137","90","68","34","33","29","18","20","0","13","18","20","0","13","0","13","15","23","0","13","0","13","15","23","0","13",
"860Z200US24366","ZCTA5 24366","80","43","12","19","0","13","0","13","0","13","0","13","0","13","12","19","12","19","0","13","0","13","0","13","12","19","0","13","0","13","0","13","0","13","0","13","68","42","58","39","0","13","31","30","19","18","8","14","10","23","0","13","0","13","0","13","0","13","0","13","10","23","0","13","0","13","10","23","0","13",
"860Z200US24368","ZCTA5 24368","1412","216","202","86","68","42","10","11","14","17","44","35","0","19","134","81","73","72","0","19","69","71","4","8","0","19","61","41","0","19","14","18","47","36","0","19","1210","215","935","165","56","49","322","128","265","93","292","89","275","121","71","47","20","25","13","18","25","27","13","17","204","101","10","16","14","17","170","100","10","12",
"860Z200US24370","ZCTA5 24370","1588","195","249","103","93","62","24","41","45","39","24","24","0","19","156","76","89","77","34","43","0","19","55","69","0","19","67","45","43","37","12","20","12","15","0","19","1339","173","1083","151","41","33","483","129","196","77","363","90","256","91","99","66","6","11","72","55","21","35","0","19","157","65","34","35","87","51","7","8","29","29",
"860Z200US24374","ZCTA5 24374","170","77","11","18","11","18","0","13","11","18","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","159","77","136","66","24","39","9","14","54","37","49","48","23","39","0","13","0","13","0","13","0","13","0","13","23","39","0","13","23","39","0","13","0","13",
"860Z200US24375","ZCTA5 24375","510","164","83","48","30","24","9","14","0","13","21","27","0","13","53","43","41","42","0","13","35","41","6","10","0","13","12","15","0","13","7","11","5","9","0","13","427","144","309","142","10","17","188","143","104","56","7","12","118","63","13","14","7","12","0","13","0","13","6","9","105","63","9","15","18","17","54","49","24","31",
"860Z200US24377","ZCTA5 24377","115","55","9","14","0","13","0","13","0","13","0","13","0","13","9","14","0","13","0","13","0","13","0","13","0","13","9","14","0","13","9","14","0","13","0","13","106","55","87","43","0","13","6","12","34","19","47","42","19","31","19","31","19","31","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US24378","ZCTA5 24378","321","84","69","49","36","37","5","8","23","33","8","13","0","13","33","28","22","26","0","13","22","26","0","13","0","13","11","10","0","13","0","13","7","9","4","6","252","74","211","68","11","10","76","36","88","49","36","21","41","33","15","24","0","13","0","13","15","24","0","13","26","24","0","13","10","16","16","18","0","13",
"860Z200US24380","ZCTA5 24380","702","215","67","66","15","17","6","12","0","13","9","14","0","13","52","66","0","13","0","13","0","13","0","13","0","13","52","66","0","13","52","66","0","13","0","13","635","199","516","188","32","34","261","163","129","58","94","66","119","94","47","50","35","44","12","24","0","13","0","13","72","77","0","13","23","28","0","13","49","68",
"860Z200US24381","ZCTA5 24381","919","207","41","42","28","35","0","13","17","28","11","18","0","13","13","22","0","13","0","13","0","13","0","13","0","13","13","22","0","13","13","22","0","13","0","13","878","200","808","191","31","39","283","121","285","98","209","111","70","56","0","13","0","13","0","13","0","13","0","13","70","56","0","13","50","43","20","35","0","13",
"860Z200US24382","ZCTA5 24382","3935","345","562","207","222","115","6","11","132","109","61","46","23","27","340","232","162","157","0","21","109","132","17","28","36","42","178","123","0","21","105","86","73","79","0","21","3373","396","2665","380","359","149","548","171","1061","255","697","179","708","203","308","135","45","47","133","76","65","68","65","89","400","132","30","33","194","91","94","59","82","65",
"860Z200US24401","ZCTA5 24401","9486","557","652","190","210","109","23","20","20","26","119","94","48","45","442","152","39","42","0","28","0","28","39","42","0","28","403","153","30","39","259","120","74","75","40","36","8834","547","6542","551","203","93","1701","289","1795","384","2843","323","2292","375","394","138","182","106","73","50","96","71","43","39","1898","343","75","61","606","248","746","211","471","193",
"860Z200US24411","ZCTA5 24411","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
